1	2025-12-22	19:00:00	completed	3	3
2	2026-01-31	14:00:00	completed	3	3
3	2026-01-31	19:00:00	completed	3	3
4	2026-02-20	14:00:00	completed	3	3
5	2026-03-12	19:00:00	completed	3	3
6	2026-04-01	14:00:00	completed	3	3
7	2026-04-21	19:00:00	completed	3	3
8	2026-05-01	20:00:00	cancelled	1	4
9	2026-08-19	19:00:00	scheduled	3	3
10	2026-09-03	14:00:00	scheduled	3	3
11	2025-11-22	20:00:00	completed	1	1
12	2026-02-10	20:00:00	completed	1	4
13	2026-05-01	20:00:00	completed	1	5
14	2026-08-24	20:00:00	scheduled	1	6
15	2026-09-23	20:00:00	scheduled	1	7
16	2026-10-23	20:00:00	scheduled	1	8
17	2026-01-21	13:00:00	completed	2	5
18	2026-03-02	16:00:00	completed	2	6
19	2026-06-15	19:00:00	cancelled	7	7
20	2026-06-20	13:00:00	completed	4	7
21	2026-07-05	16:00:00	completed	4	8
22	2026-07-15	20:00:00	completed	4	1
23	2026-07-25	13:00:00	completed	5	8
24	2026-08-02	16:00:00	scheduled	5	1
25	2026-08-05	20:00:00	scheduled	5	3
26	2026-08-09	13:00:00	scheduled	6	1
27	2026-08-13	16:00:00	scheduled	6	3
28	2026-08-17	20:00:00	scheduled	6	2
29	2026-08-27	13:00:00	scheduled	7	3
30	2026-09-08	16:00:00	scheduled	7	2
31	2026-08-29	20:00:00	scheduled	15	1
32	2026-08-03	20:00:00	scheduled	4	2
33	2026-09-28	20:00:00	scheduled	20	6
34	2026-11-02	20:00:00	scheduled	8	5
35	2026-11-17	13:00:00	scheduled	9	4
36	2026-12-07	16:00:00	scheduled	9	5
37	2026-12-27	20:00:00	scheduled	9	6
38	2027-01-26	13:00:00	scheduled	10	5
39	2027-02-25	16:00:00	scheduled	10	6
40	2025-09-03	20:00:00	completed	10	7
41	2025-09-23	13:00:00	completed	11	6
42	2025-10-13	16:00:00	completed	11	7
43	2025-11-02	20:00:00	completed	11	8
44	2025-12-02	13:00:00	completed	12	7
45	2026-01-01	16:00:00	completed	12	8
46	2026-01-21	20:00:00	completed	12	1
47	2026-03-02	13:00:00	completed	13	8
48	2026-03-22	16:00:00	completed	13	1
49	2026-04-11	20:00:00	completed	13	3
50	2026-05-21	13:00:00	completed	14	1
51	2026-06-05	16:00:00	completed	14	3
52	2026-06-20	20:00:00	completed	14	2
53	2026-07-05	13:00:00	completed	15	3
54	2026-07-15	16:00:00	completed	15	2
55	2026-07-25	20:00:00	completed	15	4
56	2026-08-02	13:00:00	scheduled	16	2
57	2026-08-05	16:00:00	scheduled	16	4
58	2026-08-09	20:00:00	scheduled	16	5
59	2026-08-13	13:00:00	scheduled	17	4
60	2026-08-17	16:00:00	scheduled	17	5
